__ON__ LIEB ZUSCHAUER ABEND	liebe zuschauer guten abend .
MORGEN SIEBEN loc-LAND VIERZEHN FLUSS	am tag sieben grad im bayerischen wald und vierzehn grad am rhein .
OSTERN MONTAG AUCH REGEN REGEN HOCH __HOLD__ SCHNEE __OFF__	auch am ostermontag regnet es stellenweise in höheren lagen auch schnee .
__ON__ ZEIGEN-BILDSCHIRM __OFF__ __ON__ WOCHENENDE IX HOCH DRUCK DAZU WARM cl-KOMMEN VIEL SONNE UND AEHNLICH SOMMER TEMPERATUR TEMPERATUR __OFF__	am wochenende beschert uns hoher luftdruck zusammen mit sehr warmer luft viel sonnenschein und teilweise sommerliche temperaturen .
__ON__ REGION TIEF __LEFTHAND__ SONNTAG cl-KOMMEN REGEN REGEN UND GEWITTER __OFF__	ein atlantischer tiefausläufer lenkt dann am sonntag von nordwesten schauer und gewitterwolken heran .
KLAR IX	sonst klart es immer mehr auf .
REGION KOENNEN NEBEL	in den niederungen bildet sich hier und da nebel .
NORDOSTRAUM TAG ANFANG WOLKE	im nordosten beginnt der tag zum teil noch wolkig .
WESTRAUM IX EINFACH VERSCHWINDEN MEHR SONNE __OFF__	im übrigen land scheint neben ein paar harmlosen wolken meist die sonne .
__ON__ WIND SCHWACH MAESSIG NORD SEE IX KOENNEN FRISCH WEHEN WEHEN WEHEN __OFF__	es weht ein schwacher bis mäßiger an der nordsee zeitweise frischer wind aus südlichen richtungen .
__ON__ BERG ALLGAEU HEUTE ABEND VIER GRAD FLUSS ELF GRAD __OFF__	im allgäu heute nacht kühle vier an der spree bis elf grad .
__ON__ RUEGEN MORGEN VIERZEHN GRAD FLUSS SOMMER FUENF ZWANZIG BIS SECHS ZWANZIG GRAD __OFF__	auf rügen morgen vierzehn entlang des rheins sommerliche fünfundzwanzig bis sechsundzwanzig grad .
__ON__ SONNTAG WEST NORDWESTRAUM WOLKE KOENNEN REGEN REGEN ODER GEWITTER KOENNEN	am sonntag im westen und nordwesten dichte wolken und mitunter kräftige schauer oder gewitter .
SUEDOSTRAUM DURCHGEHEND SONNE TROCKEN WARM __OFF__	in der südosthälfte weiterhin viel sonne trocken und sehr warm .
__ON__ GUT ABEND LIEB ZUSCHAUER	guten abend liebe zuschauer .
SOMMER KOENNEN SCHOEN	sommer kann ja so schön sein .
WEST SUEDWESTRAUM SCHON WETTER	im westen und süden konnte man das heute schon genießen .
BESONDERS BLAU HIMMEL WIE MAINZ ZEIGEN-BILDSCHIRM	diesen herrlich blauen himmel wie hier bei mainz .
__HOLD__ KOMMEN ALLE KOMMEN WARM SONNE AUS FRANKREICH cl-KOMMEN	und es wird uns alle treffen denn die wärme die hitze kommt aus frankreich .
SCHON DREISSIG GRAD cl-KOMMEN	dort sind es dreißig grad .
IN-KOMMEND TAG AUCH poss-BEI-UNS	die erreichen uns in den nächsten tagen auch .
__HOLD__ AM MITTWOCH WIEDER WARM DRUCK WEST SCHON ANFANG REGEN REGEN GEWITTER GEWITTER	aber ab mittwoch wird es schon wieder sehr schwül im westen kann es die ersten regenschauer und gewitter geben .
ABER HEUTE ABEND RUHIG	aber heute nacht ist ja alles ruhig .
BISSCHEN NEBEL	wir haben ein paar nebelfelder .
MORGEN FRUEH BAYERN NIEDERSACHSEN REGION S REGION NORD KUESTE	morgen früh in bayern und in sachsen vielleicht auch an der nordseeküste .
AUCH VIELLEICHT BISSCHEN ABER NACHT ENORM MILD IX	dazu bleibt die nacht auch ziemlich mild .
MORGEN NEBEL ACH __PU__ neg-HABEN	und morgen ja der nebel spielt keine rolle .
SONNE MACHEN NEBEL VERSCHWINDEN	die sonne kommt bruzzelt diese nebelfelder weg .
DANN NORD DEUTSCH LAND SONNE	dann scheint sie erstmal in norddeutschland .
ABER NORDWESTRAUM MUENSTER LAND BIS IX HESSEN REGION VIELLEICHT THUERINGEN REGION AUCH BISSCHEN WOLKE BISSCHEN STARK WOLKE	allerdings so von münsterland runter bis nach hessen vielleicht auch bis nach thüringen sind vorübergehend die wolken ein bisschen dichter .
WARM SUEDWESTRAUM SCHON DREISSIG GRAD SCHON MEISTENS	im südwesten geht es ja schon mal rauf bis dreißig grad .
REST VIER ZWANZIG GRAD BIS DREI ZWANZIG GRAD	sonst ist es meist vierundzwanzig bis achtundzwanzig .
BISSCHEN KUEHL MEISTENS NORD KUESTE BISSCHEN KUEHL IX	ein bisschen kühler bleibt es noch direkt an den küsten .
GLEICH DONNERSTAG FREITAG UEBERALL cl-KOMMEN	und das ganze erreicht uns dann am donnerstag und freitag überall .
IHR SCHOEN ABEND MACHEN GUT __OFF__	ihnen einen schönen abend und machen sie es gut .
__ON__ ABEND LIEB ZUSCHAUER poss-EUCH	guten abend liebe zuschauer .
DEZEMBER ANFANG REGEN REGEN HEUTE LEUTE NACH-HAUSE NACH-HAUSE NACH-HAUSE NACH-HAUSE DAS-IST-ES __LEFTHAND__ HEUTE VOR MITTAG W IX	kaum beginnt der dezember mit regen schon ist kaum jemand mehr auf den straßen wie zum beispiel in waren heute vormittag an der müritz .
WEITER REGEN REGEN VIER ZWANZIG STUNDE STUNDE REGEN __??__ cl-KOMMEN DANN __LEFTHAND__ __LEFTHAND__ DEUTSCH LAND NORD KUEHL	und es geht auch mit regen weiter in den nächsten vierundzwanzig stunden wird uns dieses regengebiet überqueren dahinter wird es dann von norden für norddeutschland ein bisschen kühler .
UND REGION REGEN SAMSTAG DOCH MORGEN ABEND IX IRLAND __LEFTHAND__ __HOLD__ SONNTAG REGEN REGEN DOCH VERBREITEN VERBREITEN VERBREITEN VERBREITEN	und das nächste regengebiet folgt auf dem fuße für den samstag liegt es morgen abend in irland und für den sonntag muss das regengebiet sich noch kräftig entwickeln .
SUED SUED BLEIBEN TROCKEN BESONDERS BAYERN OST HIMMEL KLAR BISSCHEN NEBEL AUCH FROST	im süden bleibt es dagegen trocken und vor allem im östlichen bayern bei klarem himmel und einigen nebelfeldern wird es auch wieder frostig werden .
TAG AUCH REGEN REGEN REGEN NORDWESTRAUM REGION SPAETER SUEDWESTRAUM AUCH	und wir haben auch tagsüber regen den vor allem die erstmal im nordwesten und an den küsten später auch im südwesten .
OST BISSCHEN MEHR TROCKEN __LEFTHAND__ BIS WALD P O P PFALZ IX __EMP__ DANN REGION MILD IX SONNE SONNE	nach osten ist ein bisschen trockener und so vom bodensee bis zum oberpfälzer wald bleibt es wahrscheinlich auch trocken es gibt sonnige abschnitte .
REGION STURM __LEFTHAND__ __LEFTHAND__ NORDWESTRAUM WEHEN WEHEN IX	insgesamt haben wir einen stürmischen südwest bis westwind dazu .
IN-KOMMEND IN-KOMMEND __EMP__	und in den nächsten tagen naja .
NUR REGEN BIS MONTAG __HOLD__ VIEL STURM	nur regen bis zum montag und auch ziemlich viel sturm .
SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH __OFF__	ihnen einen schönen abend und machen sie es gut .
__ON__ JETZT WETTER MORGEN FREITAG ZWEITE DEZEMBER __OFF__	und nun die wettervorhersage für morgen freitag den zweiten dezember .
__ON__ IX MEER TIEF NORDWEST WETTER WECHSELHAFT WECHSELHAFT	tiefdruckgebiete über dem atlantik sorgen in der nordwesthälfte deutschlands für unbeständiges wetter .
SUEDOSTRAUM __EMP__ VORTEIL IX HOCH BELGIEN cl-KOMMEN	die südöstlichen landesteile profitieren zunächst noch von einem hoch über dem balkan .
NACHT BESONDERS NORDRAUM NORDWESTRAUM REGEN REGEN SUED TEIL TEIL KLAR WOLKE NEBEL	in der nacht regnet es vor allem im norden und nordwesten im süden ist es teils klar teils wolkig oder neblig .
MEISTENS WOLKE REGEN REGEN SUED cl-KOMMEN	die dichten regenwolken verlagern sich südostwärts .
__LEFTHAND__ KLAR REGION WAHRSCHEINLICH SCHAUER SCHAUER	richtung nordwesten lockert es auf an den küsten einige schauer .
NACHT __LEFTHAND__ ZEHN BAYERN IX MINUS ZWEI __OFF__	in der nacht zehn grad am niederrhein und minus zwei grad in bayern .
__ON__ TAG NORD NUR FUENF ALLGAEU BERG VOR LAND VIERZEHN __OFF__	am tag fünf grad im äußersten norden vierzehn grad im alpenvorland .
__ON__ SAMSTAG WIEDER NEU REGEN __LEFTHAND__ __LEFTHAND__ cl-KOMMEN cl-KOMMEN WIND STURM	im laufe des samstags breiten sich neue regenfälle von nordwest nach südost aus dazu wird es sehr windig bis stürmisch .
SONNTAG WECHSELHAFT WECHSELHAFT AUCH TEIL STURM	am sonntag unbeständiges wetter dazu ist es teilweise stürmisch .
MONTAG OFT OFT STARK WOLKE WOLKE WOLKE TEIL ORT-PLUSPLUS REGEN REGEN REGEN	am montag ist es oft stark bewölkt gebietsweise regnet es kräftig .
WIND BLEIBEN BLEIBEN __OFF__	der wind hält an .
__ON__ LIEB ZUSCHAUER GUT ABEND	liebe zuschauer guten abend .
HEUTE NEBEL HOCH NEBEL ZWISCHEN __HOLD__ RUHIG WETTER ZEIT VORBEI	heute noch zwischen nebel und hochnebel aber diese ruhige wetterzeit geht zu ende .
MITTE STURM TIEF cl-KOMMEN cl-KOMMEN LUFT MILD ABER REGEN REGEN	ein sturmtief bei island bringt uns mit einer milden südwestströmung eben sehr milde luft aber auch mal wieder regen .
REGION MITTE KOENNEN SCHNEE __OFF__	und im landesinnern kann zum teil auch noch schnee dabei sein .
__ON__ cl-KOMMEN KALT LUFT HEUTE NACHT SUEDRAUM FROST SUEDOSTRAUM MINUS UEBER MINUS ZEHN DREIZEHN GRAD	das ganze läuft ja in diese kaltluft rein denn wir haben heute nacht noch verbreitet frost im süden und südosten sogar noch zweistellige minusgrade .
OST KOENNEN SCHNEE IX ANFANG REGEN KOENNEN GLATT	richtung osten immer noch etwas schnee anfangs dann aber auch regen anfangs auch noch glättegefahr .
NORDWESTRAUM TROCKEN TRUEB NORDWESTRAUM DANN WIEDER REGEN REGEN cl-KOMMEN	sonst eher trocken trübe und im nordwesten kommt dann der nächste regen an .
DONNERSTAG cl-KOMMEN KOENNEN DAZU BERG KOENNEN SCHNEE GLATT	und der zieht richtung südosten am donnerstag anfangs auch noch mit schnee im bergland und glättegefahr .
DANACH MILD STURM IN-KOMMEND IN-KOMMEND __OFF__	dann wird es aber mild und stürmisch in den nächsten tagen .
DANN __??__ SCHAUEN UNWETTER WIE SITUATION WIE AUSSEHEN SIE KOENNEN MACHEN ANSCHAUEN Z D E TEXT ODER KOENNEN INTERNET SIE SCHAUEN	und wenn sie sich über die aktuelle unwetterlage bei uns informieren möchten dann können sie das jederzeit tun entweder über zdf text oder über das internet .
JETZT SCHOEN ABEND poss-EUCH __OFF__	jetzt wünsche ich ihnen noch einen schönen abend .
__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH ZWEITE FEBRUAR ZEIGEN-BILDSCHIRM __OFF__	und nun die wettervorhersage für morgen mittwoch den zweiten februar .
__ON__ TIEF cl-KOMMEN SCHNEE KALT REGEN GLATT	tiefdruckgebiete lenken von nordwesten schnee und gefrierenden regen nach deutschland .
DAZU cl-KOMMEN MILD DARUM AB FREITAG SCHNEE NICHT-MEHR	da auch mildere luft heranfließt ist schnee ab freitag kein thema mehr .
SUED IX FREUNDLICH __OFF__	im süden wird es unter leichtem hochdruckeinfluss dann auch wieder freundlicher .
__ON__ cl-KOMMEN HEUTE NACHT cl-KOMMEN SCHNEE __HOLD__ REGEN GLATT KOENNEN GLATT __EMP__ GEFAHR KOENNEN UNWETTER __PU__ WARNUNG __PU__ __OFF__	von nordwesten breiten sich heute nacht schnee und gefrierender regen aus dabei wird es gefährlich glatt es bestehende entsprechende unwetterwarnungen des deutschen wetterdienstes .
__ON__ AUCH MORGEN VIEL WOLKE SPEZIELL __PU__ OST SUEDRAUM SCHNEE UND REGEN REGEN GLATT	auch morgen viele wolken im osten und südosten noch leichter schneefall oder gefrierender regen .
NACH MITTAG AUFLOESEN AUFLOESEN ABER ABEND cl-KOMMEN REGEN REGEN	am nachmittag lockert es hier und da auf aber gegen abend zieht von der nordsee wieder regen heran .
SUEDRAUM SCHWACH NORDRAUM MAESSIG MAESSIG WEHEN WEHEN KUESTE STURM KOENNEN __OFF__	im süden schwacher im norden mäßiger bis frischer wind an den küsten starke bis stürmische böen .
__ON__ OST SUEDRAUM HEUTE NACHT FROST FROST FROST NORDRAUM EINS GRAD GRAD MINUS PLUS	im osten und süden heute nacht teilweise strenger frost in nordfriesland ein grad über null .
MORGEN FLUSS MINUS FUENF GRAD FLUSS PLUS FUENF GRAD	morgen an der donau minus fünf im emsland bis plus fünf grad .
IM-VERLAUF NACHT TEIL TEIL UEBERWIEGEND REGEN-PLUSPLUS GEWITTER	bis in die nacht hinein sind immer noch einige teilweise unwetterartige schauer und gewitter unterwegs .
IX __HOLD__ loc-REGION WIND RUHIG RUHIG KLAR KLAR	aber insgesamt beruhigt sich das wetter und es klart häufig auf .
TEIL TEIL AUCH NEBEL	örtlich ist auch wieder nebel dabei .
DANN MOEGLICH WEHEN-PLUSPLUS	dann sind auch sturmböen möglich .
__HOLD__ SCHWACH SCHWACH WEHEN-PLUSPLUS	sonst meist schwacher wind aus nord bis nordost .
HEUTE NACHT WARM VIERZEHN MAXIMAL NEUNZEHN loc-ALPEN ZWOELF	heute nacht wieder laue vierzehn bis neunzehn grad am alpenrand zwölf grad .
WENN IX WEHEN ANGENEHM DREI ZWANZIG GRAD loc-SUEDOST MAXIMAL ZWEI DREISSIG __OFF__	bei auflandigem wind an der ostsee morgen angenehme dreiundzwanzig grad im südwesten bis zweiunddreißig grad .
__ON__ FREITAG __EMP__ DASSELBE __PU__	am freitag wenig änderungen .
SAMSTAG SONNTAG ALLE TIEF SCHAUER NEU WOLKE GEWITTER ICH SONNTAG BISSCHEN KUEHL __OFF__	am wochenende machen sich atlantische tiefausläufer mit neuen wolken und gewittern bemerkbar die uns am sonntag eine leichte abkühlung bringen .
__ON__ JETZT WETTER MORGEN FREITAG ZWEITE JULI WIE-AUSSEHEN ZEIGEN __OFF__	und nun die wettervorhersage für morgen freitag den zweiten juli .
__ON__ WEST loc-WEST HOCH KOMMEN HEISS LUFT KOMMEN	an der westlichen seite des hochs über mitteleuropa strömt heiße luft zu uns .
SAMSTAG UNGEFAEHR SECHS DREISSIG GRAD HOCH KOMMEN	am samstag erreicht die hitze mit werten um sechsunddreißig grad ihren höhepunkt .
DANN KOENNEN GEWITTER STURM REGEN REGEN KOENNEN __ON__	dann muss zum teil mit unwetterartigen gewittern gerechnet werden .
__ON__ REGEN REGEN SCHON VORBEI DANN TROCKEN KLAR STERN KOENNEN SEHEN ODER LOCKER WOLKE	nachdem letzte schauer in der nacht abgeklungen sind bleibt es trocken dabei ist es klar oder nur locker bewölkt .
TAG VIEL SONNE IX-PLUSPLUS WOLKE	am tag überall viel sonne ab und an ein paar wolken .
SCHWARZ WALD ALPEN KOENNEN GEWITTER GEWITTER GRUND HEISS __OFF__	über dem schwarzwald an den alpen und ganz im westen einzelne kräftige hitzegewitter .
__ON__ loc-NORD WIND SCHWACH loc-SUEDOST SCHWACH __ON__	an der see weht der wind schwach bis mäßig sonst meist nur schwach .
SAMSTAG __EMP__ SONNE AB NACH MITTAG loc-WEST KOENNEN REGEN REGEN GEWITTER WIE IX REGEN REGEN KOENNEN __OFF__	auch am samstag ist es meist sonnig ab dem nachmittag bilden sich in der westhälfte einige schauer und gewitter die unwetterartig ausfallen können .
MONTAG SONNE WOLKE WECHSELHAFT KOENNEN GEWITTER __OFF__	am montag teils sonne teils wolken und einzelne gewitterschauer .
__ON__ JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE JULI __OFF__	und nun die wettervorhersage für morgen samstag den zweiten juli .
__ON__ TIEF cl-KOMMEN BEDEUTEN MITTE EUROPA poss-BEI-UNS EINFLUSS EINFLUSS	tiefer luftdruck beeinflusst die mitte europas und damit auch unser wetter .
NORD WEHEN KUEHL	von der nordsee strömt kühle luft ein .
TIEF VORBEI REGEN cl-KOMMEN IX SONNTAG MEHR WARM	das tief lenkt regenwolken in den nordosten wo sich dann am sonntag wärmere luft durchsetzt .
NACHT BISSCHEN SCHAUER GEWITTER ABER SPAETER AUFLOESEN	in der nacht noch einzelne schauer oder gewitter die meist abklingen .
NORDOST __HOLD__ WOLKE IX REGEN REGEN NORD KUESTE LANG REGEN REGEN REGEN REGEN	im norden und osten werden die wolken in der nacht und am tag dichter hier und da fällt dort regen der nord östlich der elbe länger andauert .
WIND MAESSIG WEHEN WEHEN MEER REGION STURM MOEGLICH	der wind weht meist mäßig an der sie frisch auf den bergen und an der see sind stürmische böen möglich .
__OFF__ SONNTAG VIEL WOLKE REGEN NORDRAUM BISSCHEN GEWITTER GEWITTER	am sonntag viele wolken hier und da regen im nordosten einzelne gewitter .
MEISTENS FREUNDLICH SUEDWESTRAUM	am freundlichsten ist es im südwesten .
MONTAG NORDOSTRAUM VIEL WOLKE REGEN GEWITTER SUEDWESTRAUM MEHR FREUNDLICH	am montag in der nordosthälfte viele wolken regen und gewitter in der südwesthälfte ist es meist freundlich .
DIENSTAG SONNE WOLKE SCHAUER GEWITTER GEMISCHT __OFF__	am dienstag sonne wolken schauer und gewitter .
BIS SPAETESTEN DONNERSTAG BLEIBEN REGEN-PLUSPLUS BIS MORGEN	und das wird vor allen dingen bis einschließlich donnerstag zum teil noch ergiebigen regen bringen vor allen dingen dann morgen wieder .
HEUTE NACHT loc-REGION loc-REGEN-PLUSPLUS loc-SUED WEST BISSCHEN REGEN loc-NORDWEST KLAR STERN KOENNEN SEHEN	also auch heute nacht weiterhin regnerisch über der osthälfte im südwesten einige schauer im nordwesten klar .
MORGEN WEITER REGEN REGEN loc-REGION-PLUSPLUS BISSCHEN VERAENDERN	und morgen geht es weiter mit dem regen über der osthälfte ein bisschen verändert .
NORD OST SEE MEHR TROCKEN	die nordsee dürfte die ostsee dürfte weitgehend trocken bleiben .
__HOLD__ loc-REGION loc-REGION REGEN-PLUSPLUS loc-ALPEN __OFF__ __ON__ AUCH STURM GEFAHR	aber dann im laufe des tages vom erzgebirge bis zum alpenrand wieder ergiebiger regen durchaus auch wieder unwettergefahr .
loc-SUEDWEST BISSCHEN SCHAUER SCHAUER loc-NORDWEST FREUNDLICH SONNE __OFF__	im südwesten einige schauer und im gesamten nordwesten ganz freundlich .
__ON__ DONNERSTAG SUED DANN WECHSELHAFT	und auch der donnerstag im südosten noch wechselhaft .
AB FREITAG loc-REGION BESSER __PU__ __OFF__ __ON__ SONNE __PU__ WARM	aber ab freitag sieht es deutlich besser aus und zwar für alle viel sonne und auch viel wärme .
ENDLICH WIRKLICH SOMMER KOMMEN	da kommt endlich dann wirklich mal der sommer .
SCHOEN ABEND TSCHUESS __OFF__	ich wünsche ihnen noch einen schönen abend .
__ON__ MITTE EUROPA TIEF KOMMEN KOMMEN REGEN-PLUSPLUS	das tief über dem östlichen mitteleuropa sorgt dafür dass es ergiebig regnet .
BESONDERS DEUTSCH LAND loc-SUED OST BIS-JETZT DONNERSTAG KOENNEN REGEN-PLUSPLUS ENORM __OFF__	davon betroffen ist auch der südosten deutschlands wo bis donnerstag unwetterartige regenmengen zusammenkommen können .
__ON__ GLEICH ZEIT WEST KOMMEN HOCH KOMMEN __OFF__	gleichzeitig setzt sich von westen allmählich hoher luftdruck durch .
__ON__ TAG loc-SUEDOST REGEN-PLUSPLUS KLAR REGEN-PLUSPLUS DANN HERZ MEHR KOMMEN KOMMEN KOENNEN __OFF__	am tag in der südosthälfte weitere regenfälle die im laufe des tages stärker werden und dann vom erzgebirge bis zu den alpen zum teil ergiebig ausfallen .
__ON__ TAG ZWEI ZWANZIG loc-REGION ZEHN ACHT REGEN-PLUSPLUS __OFF__	am tag zehn grad bei dauerregen und zweiundzwanzig grad am niederrhein .
FREITAG IX VIEL SONNE NUR ALPEN BISSCHEN REGEN REGEN	am freitag überall viel sonne nur an den alpen regnet es noch vereinzelt .
SAMSTAG VIEL SONNE __OFF__	am samstag viel sonnenschein .
__ON__ LIEB ZUSCHAUER GUT ABEND __OFF__	liebe zuschauer guten abend .
__ON__ HEUTE GERADE ERSTE SOMMER TAG FUER WIRKLICH WETTER FACH LEUTE __HOLD__ GESTERN FRUEHLING ZU-ENDE VORBEI ENORM neg-ZU-WARM __PU__	heute der erste sommertag für die meteorologen aber das frühjahr das gestern zu ende ging war ja auch zu warm .
WER VERWOEHNT ENORM ENORM ABER REGION GROB KOENNEN SAGEN UEBER MITTE WERT WERT	wir sind auch sehr verwöhnt worden aber flächendeckend lagen die temperaturen weitgehend über dem mittelwert .
BEISPIEL __LEFTHAND__ __OFF__ __ON__ STUTTGART REGION HOCH WERT MITTE WERT STEIGEN-RUNTER-PLUSPLUS UNTER NULL KAUM __PU__	beispiel dafür hier diese kurve von stuttgart echterdingen hier das rote der mittelwert die abweichungen weitgehend nach oben .
__HOLD__ AUCH BESONDERS TROCKEN	das trockenste frühjahr seit beginn der wetteraufzeichnungen allerdings auch .
SCHAUEN __LEFTHAND__ HELL GELB IX TROCKEN __EMP__ __EMP__ __EMP__ NUR VIER PROZENT HAELFTE NORMAL REGEN REGEN WIEVIEL NUR VIER PROZENT VON NORMAL	und wir sehen hier dass diese ganzen hellgelben regionen dort war es viel zu trocken teilweise sind nur vier prozent des normalen wertes an regen gefallen überhaupt .
__ON__ __HOLD__ REGEN __EMP__ neg-VIEL __EMP__ WARUM IX BERG REGEN REGEN REGEN	und es kommt im moment auch nicht viel regen nach denn der regen zieht sich immer mehr richtung alpenrand zurück .
GESAMT TROCKEN REGION __HOLD__ KUEHL KUEHL MORGEN DASSELBE __HOLD__ SCHAUER REGION	sonst bleibt es trocken relativ kühl die nacht und auch morgen allenfalls noch ein paar schauer am alpenrand .
__HOLD__ SONST VIEL SONNE __HOLD__ REGION TEILWEISE TEILWEISE __HOLD__ WEHEN WEHEN STARK TEMPERATUR ANGENEHM ANGENEHM TEILWEISE UNGEFAEHR ZWANZIG GRAD UEBER UEBER BIS FUENF ZWANZIG REGION __OFF__	aber sonst viel sonnenschein teilweise kräftiger nordnordostwind und angenehme temperaturen teilweise wieder so knapp über zwanzig grad bis fünfundzwanzig sogar am rhein .
__ON__ BEDEUTEN WOCHENENDE IN-KOMMEND KOENNEN SAGEN SOMMER SOMMER PASSEN SOMMER __OFF__ __ON__ AB SAMSTAG MITTE REGION SUED REGEN REGEN DABEI DABEI	in der summe also dieses lange wochenende sehr sommerlich allerdings dann ab samstag in der mitte und auch im süden wieder mit gewittern .
SCHOEN ABEND TSCHUESS __OFF__	ich wünsche ihnen noch einen schönen abend .
__ON__ JETZT MORGEN WETTER WIE-AUSSEHEN __PU__ DONNERSTAG ZWEITE JUNI __OFF__	und nun die wettervorhersage für morgen donnerstag den zweiten juni .
__ON__ EUROPA MITTE LUFT DRUCK HOCH cl-KOMMEN DEUTSCH LAND MEISTENS VIEL SONNE	hoher luftdruck über der mitte europas beschert weiten teilen deutschlands viel sonne .
NUR SUEDRAUM __EMP__	ausnahme ist süddeutschland .
WOLKE MORGEN WOLKE HIMMEL FREITAG GEWITTER __OFF__	feuchte luft sorgt dort morgen wir wolken am freitag für gewitter .
__ON__ WOCHENENDE IX cl-KOMMEN cl-KOMMEN RISIKO MEHR GEWITTER __OFF__	am wochenende breitet sie sich weiter nach norden aus und das gewitterrisiko steigt verbreitet an .
__ON__ HEUTE NACHT SUED __HOLD__ cl-KOMMEN REGEN IX-PLUSPLUS BISSCHEN __OFF__	in der nacht ziehen sich die wolken in den süden zurück hier und da regnet es noch etwas .
__ON__ MORGEN SUEDRAUM SUED poss-SEIN WOLKE HIMMEL DANN AUFLOESEN AUFLOESEN NACH MITTAG SUEDRAUM BISSCHEN SCHAUER SCHAUER __OFF__	am tag ist es im süden erst bewölkt dann lockern die wolken auf am nachmittag an den alpen ein paar schauer .
__ON__ WIND WEHEN SCHWACH MAESSIG MAESSIG __OFF__ __ON__ TEILWEISE REGION WEHEN	der wind weht schwach bis mäßig im südwesten frisch teilweise auch stark böig .
HEUTE NACHT REGION DREIZEHN GRAD __HOLD__ REGION DREI GRAD	heute nacht dreizehn grad in niederbayern und drei grad im emsland .
NACHMITTAG ACHTZEHN NORDRAUM FUENF ZWANZIG REGION __OFF__	am tag achtzehn grad an der see und fünfundzwanzig grad am main .
__ON__ FREITAG FREUNDLICH SONNE SUEDRAUM SCHWUEL AB NACH MITTAG GEWITTER REGEN IX KOENNEN __OFF__	am freitag ist es freundlich im süden schwül ab dem nachmittag vereinzelt kräftige schauer und gewitter .
__ON__ SAMSTAG NORDRAUM FREUNDLICH SONNE REGION AB NACH MITTAG WEHEN GEWITTER GEWITTER KOENNEN __OFF__	am samstag ist es im norden weiter freundlich in der südhälfte ab dem nachmittag mitunter unwetterartige gewitter .
__ON__ MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWEITE MAERZ __OFF__	und nun die wettervorhersage für morgen mittwoch den zweiten märz .
__ON__ HEUTE NACHT NORDWESTRAUM SCHWARZ WALD REGION SUED STARK REGION KLAR STERN KOENNEN SEHEN IX-PLUSPLUS BISSCHEN NEBEL BESONDERS NAH KUESTE __OFF__	heute nacht gibt es im nordwesten sowie vom schwarzwald bis zu den alpen noch ein paar dichtere wolken sonst ist es vielerorts klar hier und da bildet sich nebel besonders in küstennähe .
__ON__ __HOLD__ REGION EINS GRAD REGION MINUS SIEBEN	am oberrhein heute nacht ein grad plus an der oder minus sieben grad .
MORGEN NORDRAUM ZWEI BIS DREI REGION KOELN REGION BIS ZEHN GRAD __OFF__	morgen an der küste zwei bis drei in der kölner bucht bis zehn grad .
