"WHAT"	what
(2h)VOMIT/HATE ((2h)VOMIT/HATE++)	vomit
(2h)alt.FANCY	fancy
(2h)alt.FIRE	fire
(2h)alt.LIE	lie
(2h)alt.LONG-AGO	long-ago
(2h)alt.SEARCH-FOR	search-for
(3)WALK ((3)WALK+)	walk
(5)ACCIDENT	accident
(5)DEPRESS	depress
(5)MAN	man
(5)NOT	not
(5)SOCIAL/INTERACT	interact
(5)WEATHER	weather
(5)WOMAN	woman
(D)DOCTOR ((D)DOCTOR+)	doctor
(F)NONE/NOTHING_2	nothing
(L)LIVE	live
(L-X)INTERESTING	interesting
(P)PARTY	party
(P)UPSET	upset
(R)BEST-FRIEND	best-friend
(S)BASEBALL	baseball
(Y)COUNTRY	country
(Y)YESTERDAY	yesterday
(nd-1)MOVIE	movie
1"focus"	focus
1p-ASK:i	ask
1p-TELL-2p:j	tell
2p-GIVE-1p	give
2p-HELP-1p	help
3"come on"	come-on
3"contemplation"	contemplation
5"awestruck"	awestruck
5"frustration"	frustration
5"hands off"	hands off
5"hey, no"	hey, no
5"no more"	no more
5"of course"	of course
5"oh no!"	oh no!
5"oh well"	oh well
5"ok (giving in)"	ok (giving in)
5"ok, hey"	ok, hey
5"out of my control"	out of my control
5"panic"	panic
A-LOT	a lot
ABOVE	above
ACCEPT	accept
ACT (2)	act
ACTION	action
ADULT-TALL	adult-tall
ADVISE/INFLUENCE	advise
AFRAID	afraid
AFTERNOON (AFTERNOON+)	afternoon
AGAIN	again
AGAINST	against
AGENT	agent
AGREE	agree
AIRPLANE	airplane
ALARM (ALARM+)	alarm
ALCOHOL (ALCOHOL+)	alcohol
ALL-DAY	all day
ALL-NIGHT	all night
ALLERGY	allergy
ALMOST	almost
ALSO	also
ALWAYS	always
ANALYZE	analyze
AND	and
ANIMAL (ANIMAL+)	animal
ANNOUNCE	announce
ANSWER	answer
ANYWAY/NOT-MATTER (ANYWAY/NOT-MATTER+)	matter
APPEARANCE	appearance
APPLE	apple
APPLY	apply
APPOINTMENT	appointment
AROUND	around
ARRIVE	arrive
ARTICLE	article
ASSAULT	assault
ATTENTION-WAVE	attention-wave
AUNT	aunt
AUTOMATIC	automatic
AUTUMN	autumn
BABY	baby
BACK-OF-MIND	back-of-mind
BALD_2	bald
BAWL-OUT:i (BAWL-OUT+:i)	bawl out
BEAUTIFUL	beautiful
BECOME	become
BED	bed
BEFORE	before
BELIEVE	believe
BETTER	better
BICYCLE	bicycle
BIG	big
BLACK	black
BLAME (BLAME+)	blame
BLUE	blue
BOAT_2	boat
BOOK	book
BORE	bore
BORN	born
BOSS	boss
BOX/ROOM	box
BOY	boy
BRACELET	bracelet
BREAK	break
BREAK-DOWN	break-down
BROCCOLI	broccoli
BROTHER	brother
BUSY	busy
BUT	but
BUTTER	butter
CALL-BY-PHONE	call by phone
CALL:k	call
CAMP+	camp
CAN	can
CANCEL	cancel
CANNOT	cannot
CAT	cat
CHAPTER	chapter
CHASE	chase
CHEAP	cheap
CHECK	check
CHEESE	cheese
CHICKEN (CHICKEN+)	chicken
CHILDREN	children
CHOCOLATE	chocolate
CITY/COMMUNITY_3	city
CLASS	class
CLASS-pl	pl
CLEAR	clear
CLOSE-DOOR	close-door
COAT	coat
COLD	cold
COLLAR	collar
COLLEGE	college
COME	come
COMPARE	compare
COMPETITION (COMPETITION++)	competition
COMPUTER	computer
CONFRONT	confront
CONTINUE	continue
COOK	cook
COOKIE	cookie
COOL	cool
CORRECT	correct
COURSE	course
COUSIN	cousin
COW	cow
CRASH_2	crash
CREATE/PRETEND	pretend
CROWDED	crowded
DATE/DESSERT (DATE/DESSERT+)	dessert
DAUGHTER	daughter
DCL"blinking lights on shoes"	blinking lights on shoes
DCL"circular object"	circular object
DCL"small box"	small box
DCL:5"hair dyed all over"	hair dyed all over
DCL:B-L"stack of books"	stack of books
DCL:C"logs"	logs
DCL:S/5"fire starting"	fire starting
DCL:crvd-5"group-go-together"	group-go-together
DCL:crvd-5"waves crashing"	waves crashing
DCL:crvd-B"small puppies"	small puppies
DCL:crvd-L"bagel"	bagel
DEAF	deaf
DEAF-APPLAUSE	deaf-applause
DECIDE	decide
DELICIOUS	delicious
DEPART	depart
DESTROY	destroy
DIFFERENT	different
DISCUSS	discuss
DISGUST (DISGUST+)	disgust
DISH	dish
DISMISS	dismiss
DISTRIBUTE	distribute
DO-DO	what did
DO-DO	what was
DOLLAR	dollar
DOUBT	doubt
DRESS/CLOTHES	dress
DRESS/CLOTHES	clothes
DRINK	drink
DRIVE	drive
DROP	drop
DRY-CEREAL	dry-cereal
DURING/WHILE	while
DYE	dye
EASY (EASY+)	easy
EAT	eat
EIGHT	eight
EMERGENCY	emergency
EMPTY-FROM-NOW-ON	empty-from-now-on
ENTER	enter
EQUAL	equal
ESCAPE	escape
EVERY	every
EVERYDAY	everyday
EXAUST	exaust
EXPENSIVE	expensive
EXTENSIVE-KNOWLEDGE	extensive-knowledge
FACE	face
FAIL	fail
FAMILY	family
FAMOUS	famous
FARM	farm
FAST	fast
FATHER	father
FAVORITE/PREFER	prefer
FAVORITE/PREFER+	favorite
FEEL	feel
FINALLY	finally
FIND/FIND-OUT	find
FINE	fine
FINEwg	finewg
FINGERSPELL (FINGERSPELL+)	fingerspell
FINISH-shake	finish-shake
FIRED	fired
FIRST	first
FLOWER	flower
FLY-BY-PLANE	fly-by-plane
FOLLOW	follow
FOOTBALL (FOOTBALL+)	football
FOR	for
FORGET	forget
FRESHMAN	freshman
FRIEND	friend
FROM	from
FROM-NOW-ON	from-now-on
FULL	full
FUNNY	funny
FUTURE	future
GAME	game
GATHER	gather
GET	get
GET-IN (GET-IN+)	get-in
GET-TICKET	get-ticket
GIRL (GIRL+)	girl
GONE	gone
GRAB-CHANCE	chance
GRADUATE	graduate
GREAT	great
GROUP	group
GROUP/TOGETHER	together
GROW (GROW+)	grow
GROW-UP	grow-up
GUARANTEE	guarantee
GUITAR	guitar
HAIR	hair
HAPPEN	happen
HARD	hard
HERE	here
HIT	hit
HOME	home
HOMEWORK	homework
HONEST	honest
HONOR	honor
HOPE	hope
HOSPITAL	hospital
HOT	hot
HOUSE	house
HOW	how
HUNGRY/WISH	wish
HUNGRY/WISH	hungry
HUSBAND	husband
ICL"opening can"	opening can
ICL:A"using key"	using key
ICL:flat-O"holding money"	holding money
ICL:flat-O"pocketing money"	pocketing money
ICL:tight-C"eating sandwich"	eating sandwich
ICL:x-over-thumb"eating out of a bowl"	eating out of a bowl
ILLEGAL	illegal
IMPORTANT	important
IMPOSSIBLE+	impossible
IN	in
INCREASE	increase
INNOCENT	innocent
INSURANCE/INFECTION	insurance
INTERPRET	interpret
INTRODUCE	introduce
JOIN	join
JUICE	juice
KICK-OUT	kick-out
KID	kid
KIND	kind
KISS-FIST	kiss-fist
KITCHEN	kitchen
KNOW-THAT	know-that
LANGUAGE	language
LAST	last
LAST-WEEK	last-week
LATER_2	later
LCL:1"dress over there"	dress over there
LCL:3"parked car"	parked car
LCL:B-L"wave front"	wave front
LCL:bent-B-xd"swallow fish" (LCL:bent-B-xd"swallow fish"++)	swallow fish
LCL:curved-V "person sit next to me"	person sit next to me
LEARN	learn
LEAVE-THERE	leave-there
LEMON (LEMON+)	lemon
LEND	lend
LIBRARY	library
LIGHT	light
LIKE	like
LINGUISTICS	linguistics
LITTLE-BIT	little-bit
LOOK-OVER	look-over
LOSE	lose
LOUSY	lousy
LOVE	love
MAGAZINE	magazine
MAKE	make
MALE-COUSIN	male-cousin
MANIPULATE (MANIPULATE+)	manipulate
MANY	many
MARRY	marry
MATH (MATH+)	math
MEET	meet
MELON/PUMPKIN (MELON/PUMPKIN+)	pumpkin
MIDNIGHT	midnight
MILK	milk
MINUTE	minute
MISTAKE	mistake
MONEY	money
MONSTER	monster
MORE	more
MORNING	morning
MOST-SKILLED	most-skilled
MOTHER	mother
MOTHERwg	motherwg
MOUSE/FICTION	mouse
MYSTERY	mystery
NAB	nab
NAME	name
NEAR	near
NEG	neg
NEGATIVE	negative
NEPHEW	nephew
NEVER	never
NEW	new
NEXT	next
NEXT-TO	next-to
NEXT-WEEK	next-week
NICE/CLEAN	clean
NIGHT	night
NIGHT-pl-arc	arc
NINE	nine
NONE	none
NOT-CARE	not-care
NOT-MIND	not-mind
NOTHING-AT-ALL	nothing-at-all
NOW-WEEK	this week
NUT	nut
OCEAN	ocean
OF-COURSE	of-course
OFFICE	office
OH-I-SEE (OH-I-SEE+)	oh-i-see
OLD	old
ON	on
ON-TIME	on-time
ONE	one
ONE-DOLLAR+	one-dollar
ONLY	only
OPEN	open
OPPOSITE	opposite
ORANGE	orange
ORDER	order
ORGANIZATION	organization
OTHER	other
OVER/AFTER	after
PAINT (PAINT+)	paint
PANTS_2	pants
PASS	pass
PAST	past
PAY	pay
PCL:5"long line of cars"	long line of cars
PCL:5"people moving around"	people moving around
PEOPLE	people
PERFECT	perfect
PERMIT	permit
PERSON	person
PHONE	phone
PHYSICS	physics
PICK-1p	pick
PICTURE	picture
PIE	pie
PINEAPPLE	pineapple
PIZZA_4	pizza
PLACE	place
PLAN	plan
PLAY-continuative	play-continuative
PLUS	plus
POSS-1p	my
POSS-1p-pl	our
POSS-2p	your
POSS-3p:i	his/her
POSS-3p:i/j (POSS-3p:i/j+)	their
POSS:i	her
POSTER	poster
POSTPONE	postpone
PRESIDENT	president
PRICE	price
PRINCE	prince
PROBLEM_2	problem
PROCEED	proceed
PUNISH	punish
PURPLE (PURPLE+)	purple
PUT-AWAY	put-away
QMwg	?
QUESTION	question
QUOTE/TOPIC	topic
RAIN	rain
READ	read
READY	ready
REALLY	really
RECENT-PAST	recent-past
RED	red
REFUSE	refuse
REGULAR	regular
RELATIONSHIP-OFF	relationship-off
REMEMBER	remember
REPAIR_2	repair
REPUBLICAN	republican
REQUIRE	require
RESPONSIBILITY	responsibility
REST (REST+++)	rest
RESTAURANT	restaurant
ROOMMATE	roommate
ROWING	rowing
RUIN	ruin
RULE	rule
RUN-OUT	run-out
SAD	sad
SANDWICH_2	sandwich
SAVE	save
SAVE-MONEY	save-money
SAY	say
SCARE (SCARE+)	scare
SCHOOL	school
SCL:1"John and Mary walk together"	john and mary walk together
SCL:1"Mary"	mary
SCL:1"mouse scurries"	mouse scurries
SCL:1"that"	that
SCL:2"two people coming"	two people coming
SCL:3"big car"	big car
SCL:3"bike crashing"	bike crashing
SCL:3"fall off bike"	fall off bike
SCL:5-C"big house"	big house
SCL:U-L"person walking"	person walking
SCL:V/2"two of them go together"	two of them go together
SCL:X"man walking"	man walking
SCL:crvd-V"cat chases mouse"	cat chases mouse
SCL:crvd-V"cat jumps up onto the table"	cat jumps up onto the table
SCRATCH	scratch
SECOND	second
SEE	see
SEEM	seem
SELF-3p+:i	self
SELL (3)	sell
SEMESTER	semester
SERIOUS	serious
SERVICE	service
SEVEN	seven
SHEET-CAKE	sheet-cake
SHOE	shoe
SHORT-HEIGHT (SHORT-HEIGHT+)	short-height
SHOULD (SHOULD+)	should
SICK	sick
SICK/SILLY	silly
SISTER	sister
SIT	sit
SIT-continuative	sit-continuative
SITUATION	situation
SIX	six
SKILL	skill
SLEEP	sleep
SMALL	small
SMALL-AMOUNT	small-amount
SMIRK	smirk
SNOW	snow
SOCIAL/INTERACT	social
SOME	some
SOMETHING/ONE	someone
SOMETHING/ONE	something
SOMETHING/ONE	anything
SOMETIMES	sometimes
SON	son
SOON	soon
SORRY	sorry
SOUP	soup
SPECIAL	special
SPELL	spell
STAND	stand
START	start
STILL	still
STOP	stop
STRAIGHT	straight
STRANGE	strange
STRUGGLE-continuative	struggle-continuative
STUCK	stuck
STUDENT	student
STUDY	study
SUBTRACT	subtract
SUCCEED	succeed
SUFFER	suffer
SUGGEST	suggest
SUMMER	summer
SUN_2	sun
SURPRISE	surprise
SUSPECT (SUSPECT+)	suspect
SWIM	swim
SWIM-continuative	swim-continuative
TABLE	table
TAKE	take
TAKE-OUT	out
TAKE-UP	up
TAKE-continuative	take-continuative
TALK	talk
TASTE	taste
TEACH	teach
TEAM	team
TEST	test
THEN	then
THINK	think
THIS	this
THOUSAND	thousand
THREAT	threat
THREE	three
THRILL/WHAT'S-UP	thrill
THUMB-IX-3p:i	nan
TIME	time
TIRE	tire
TIRED	tired
TO	to
TOMORROW	tomorrow
TOUGH	tough
TRADITION	tradition
TRAIN	train
TURKEY	turkey
TWENTY	twenty
TWO	two
TWO-HUNDRED	two-hundred
UGLY	ugly
UMBRELLA	umbrella
UNCLE	uncle
UNDERSTAND	understand
UP-AHEAD	up-ahead
UP-TO-NOW	up-to_now
VEGETABLE	vegetable
VERY	very
VERY-FAST	very-fast
VISIT	visit
VOLUNTEER/SHIRT	volunteer
VOLUNTEER/SHIRT+	shirt
VOLUNTEER/SHIRT+	candidate
VOTE	vote
WAIT-A-MINUTE	wait-a-minute
WARM	warm
WASHING-MACHINE (WASHING-MACHINE+)	washing-machine
WATER	water
WHERE	where
WHICH	which
WHO	who
WIDE	wide
WIFE	wife
WIN	win
WINDOW	window
WITH	with
WONDER	wonder
WOOD	wood
WORD	word
WORK	work
WORK-OUT (WORK-OUT+)	work-out
WRITE	write
WRONG	wrong
YEAR	year
YES	yes
YOUNG (YOUNG++)	young
fs-AAA	aaa
fs-ALEC-BALDWIN	baldwin
fs-AMY	amy
fs-ANN	ann
fs-BEACH	beach
fs-BEN	ben
fs-BETH	beth
fs-BILL	bill
fs-BOB	bob
fs-BOSTON	boston
fs-BRUCE	bruce
fs-BU	bu
fs-BUSTUN	bustun
fs-CAKES	cakes
fs-CARE	care
fs-CAVIAR	caviar
fs-CEREAL	cereal
fs-CHARLES	charles
fs-CREAM	cream
fs-DAN	dan
fs-DAY	day
fs-DEMI	demi
fs-DRAMA	drama
fs-DVD	dvd
fs-ELECTION	election
fs-EVEN	even
fs-GAZPACHO	gazpacho
fs-GEORGE-CLOONEY	george clooney
fs-GLOBE	globe
fs-GOLD	gold
fs-GUEST	guest
fs-HARRY	harry
fs-HEIGHT	height
fs-JACK	jack
fs-JAMES	james
fs-JANE	jane
fs-JANET	janet
fs-JASON	jason
fs-JEN	jen
fs-JIM	jim
fs-JOE	joe
fs-JOHN	john
fs-LAKE	lake
fs-LAND-O-LAKES	land o' lakes
fs-LIZ	liz
fs-LOTTERY	lottery
fs-LOX	lox
fs-LUB	lub
fs-MAC	mac
fs-MAINE	maine
fs-MARGARINE	margarine
fs-MIAMI	miami
fs-MOORE	moore
fs-NETFLIX	netflix
fs-OBAMA	obama
fs-PARK	park
fs-PAUL	paul
fs-PETE	pete
fs-PHIL	phil
fs-POP	pop
fs-RANCH	ranch
fs-RENT	rent
fs-RISK	risk
fs-ROBERTS	roberts
fs-SALLY	sally
fs-SEPT	sept
fs-SPINACH	spinach
fs-SUE	sue
fs-SUSHI	sushi
fs-TASKS	tasks
fs-TAX	tax
fs-TJ	tj
fs-TREAT	treat
fs-TRUCK	truck
fs-WILLIS	willis
i:SAME-1p	same
i:SEND/MAIL-1p	send
ns-AMERICAN-AIRLINES	airlines
ns-BROOKLINE	brookline
ns-CHICAGO	chicago
ns-CHINA	china
ns-FRANCE	france
ns-GALLAUDET	gallaudet
ns-IRELAND	ireland
ns-ITALY	italy
ns-JAMAICA	jamaica
ns-NEW-YORK	york
ns-SEATTLE	seattle
ns-nat-GERMANY	germany
"WHAT" fs-JOHN LIKE 	What is it that John likes?
part:indef IX-3p:i CONTINUE FOR fs-MILES ALREADY NEAR SOON+ END #SO IX-1p CL:3 "cars pulling over" STAY ON HOTEL GAMBLE++ ALL-NIGHT WAKE-OVER NOT^YET SLEEP NOTHING 	Its only last for 50 miles and its already get there soon.  So we decided to pull over and stay at the hotel.  We were gambling and stay awake all night.
STOP MAKE SURE NONE ONE BRING FRUIT AND VEGETABLE FROM ns-MEXICO 	They will stop and make sure nobody would bring any fruit or vegetable from Mexico.
MISTAKE TRUE-BUSINESS ENOUGH COP (2h)CL:3"two vehicle" 	A cop's car is behind our car.
fs-DANA SCREAM+ 	Dana walked around behind me and was screaming.
THAT fs-MONOLOGUE 	a monologue.
FINISH FUTURE BUY OTHER BOOK 	After finishing the book, (he) will buy another book.
fs-MARY VEGETABLE KNOW IX-3p:i LIKE fs-CORN 	As for Mary and vegetables, (he) knows she likes corn.
REALLY MANY FALL++ 	We went down and many people fell off.
TEACHER FINISH READ+ MAGAZINE NOW SWITCH READ BOOK+ 	The teacher finished reading the magazine so now she is going to read a book.
REALLY IX-1p MUST SHOWER IX-1p WORK ALL-DAY PLUS BLOOD cl:5 "all over on the shirt" EVERYWHERE ON IX-1p 	Really, I have to take shower because I was working all day, and plus blood all over on me.
THEN GRAB ARREST FINE part:indef 	Then they grabbed me and got me arrested.  
SOMETHING/ONE STUDENT HAVE VIDEOTAPE 	Some student has the videotape.
IX-1p DRIVE DEER CL:5"deer's looking to me" 	The Deer looked at me while I was driving.
fs-JOHN BUY YESTERDAY "WHAT" BOOK+ 	What did John buy yesterday? A book. (books?)
TELL:i fs-BILL YESTERDAY WHO fs-MARY 	Who told Bill yesterday? Mary did.
POSS-1p MOTHER-FATHER part:indef HOW KNOW 	My parents asked "how did you know?"
IX-3p:i LIKE CRAZY READ ABOUT CAR 	He is crazy about reading about cars.
CAUSE PROBLEM FOR IX-3p-arc #RA RESIDENCE COUNSELOR KNOW WHO UNKNOWN CHECK++ 	Caused the problem for our RA, Residence Counselor, you know, they are the one who will checking on us.
IX-1p HAVE OLDER SISTER IX-3p:i 	I have an older sister.
IX-3p:i FORMERLY POSS-3p:j fs-JOHN CAR 	That was John's car.
FINE ONE MAN ONE FRIEND GOOD FRIEND POSS-1p IX-3p:i fs-PAUL 	The guy name is Paul, he is a good friend of mine. 
SWIM IX-1p LOOK MANY PEOPLE cl:4 "look at me" #AT IX-1p SAME IX-1p REALLY COMPLETE IDIOT BUT REALLY IX-1p part:indef 	I noticed many people were looking at me like I am completely idiot to swim while its raining.
TIME^5:00 FINISH POSS-1p fs-LEGS (5)WOW WORN-OUT 	At 5:00 we stopped.  My legs were so worn out!
STUDENT IX-3p-pl-arc NOT LIKE CHOCOLATE 	The students do not like chocolate.
IX-1p LOOK BACK 	I looked back.
BUT IX-1p CONSIDER IX-1p TRY TELL POSS-1p FRIEND IX-1p CIGARETTE 	But I am thinking of how to tell my friend that I was just smoking the cigarette.
DEPRESS NAH CL:1"person walking across" TELL POSS-1p MOTHER-FATHER 	She was depressed and walked over to tell my parents.
BCL:5"tapping" MIND (2h)CL:3"sitting switch" MIND 	Deaf person tapped Hearing's shoulder and asked if he didn't mind to switch the seat.
IX-1p cl:3 "sit down" WAIT++ FINALLY IX-1p GO-IN 	I sat down and waiting for long time.  Then, I finally got in. 
DCL:"pet carrier"  DOOR #DOG PUT (2h)(B-L)NOTHING "hands on face" 	But the pet carrier with the dog was not there! 
ns-LA ns-LA FINISH FUTURE FLOOD FOR SURE 	In LA, they would get flood out crazy for sure.
IX-3p:o o:(1h)CARRY:s DCL:G"collar" ICL:"take off collar" 	He gingerly removed the dead dog from the carrier and took off its collar.
WOLF BCL:5"walking" TO IX-3p:i HOUSE GRASS part:indef 	A wolf walk to grass house.
IX-3p:i PAST POSS-3p:j fs-JOHN CAR 	That used to be John's car.
MOTORCYCLE REALLY FUTURE #DO ANYTHING FOR MOTORCYCLE REALLY SYMPATHY BAD fs-LUCK WITH MOTORCYCLE 	He would do anything for motorcycle.  I felt bad for him, he has bad luck with motorcycle.  
IX-1p CL:S"turning the wheel" CL:3"vehicle moving turn" 	I turned the wheel to pull over.
COP SAY CL:1"pointing at us" NOT DO #EVER AGAIN MAKE IX-1p DRIVE FROM #LA CL:1"coming to here" FOR THAT 	A cop pointed his finger to us and said, "Don't ever do that again because I drove here all the way from LA for that."
IX-2p:i SEE SOMETHING/ONE (1h)part:indef 	Did you see someone?
WIFE SAY SO-SO SOMETIME IX-3p:i HAVE BAD DREAM 	Wife said, so-so, sometime he would have a bad dream.
fs-JOHN READ BOOK FUTURE KNOW MORE ABOUT ns-LINCOLN POSS-3p:i LIFE 	If John reads the book, he will know more about Lincoln's life.
TEACHER FINISH READ+ MAGAZINE FUTURE SWITCH READ BOOK+ 	When the teacher finishes reading the magazine, he/she will read a book.
fs-JOHN fs-MARY i:BLAME:j 	As for John, Mary blames (him).
MOTHER NOT-WANT BUY HOUSE 	Mother doesn't want to buy a house.
CORNER REALLY IX-3p:i SHARP cl:y "wow" METAL WITH BIG fs-LOG cl:5 "size of the object" 	The metal corner was really sharp! It was with big log in.
IX-1p part:indef IN RAIN LITTLE-BIT RAIN IX-1p SWIM 	When there is a little of rain and I was swimming..
#BUT IMPORTANT IX-3p:i DEAF part:indef 	But most importantly, he is deaf.
SAME FOR EXAMPLE FINE DRIVE IX-1p part:indef SAME cl:3 "cars toward to each other" HERE SITUATION 	Like for an example, for driving part, in Boston, when two cars toward to each other situation.
CHASE TWO IN BRICK HOUSE 	Wolf was chasing after pigs.  Two pigs got in the brick house.
fs-OFFICERS TO MAKE SURE APPROACH RIGHT WAY WITH DEAF PEOPLE 	The officers need to make sure they will approach Deaf people in right way.
REALLY BLOOD STILL BLOOD++ IX-1p WAIT++ 	Really,  it was still bleeding and I was waiting for long time.
THAT:i BOOK IX-loc:i fs-JOHN FINISH READ YESTERDAY 	That book there, John (already) read it yesterday.
STUDENT SHOULD READ+ HOW-MANY BOOK part:indef 	How many books should the students read?
IX-3p:i fs-JOHN FORMERLY CAR IX-loc:j 	Is that John's former car?
LOUD++ SCL:5"house shaking" 	It's loud when the house was shaking.
MOTHER FUTURE BUY HOUSE 	Will mother buy a house?  No.
part:indef NAH IX-1p FINE NAH 	"Nah, I am fine," a person said.
IN BROTHER IX-3p-pl-2:i/j part:indef CL:5"talking back and forth" DO (2h)CL:3"sitting down" UNKNOWN 	Got in and discuss with his brother to see what they should do.  They were sitting  down and waiting.
ICL:S"holding carrier from top" (2h)DCL:"collar"  DCL:"tags swinging" ICL:S"holding carrier from top" (1h)HAVE ICL:S"holding carrier from top" 	The skycap tried again, pointing to the dog and saying, "But he has on the right collar and tags!"
IX-1p CL:3"falling out" IX-1p part:indef 	I fell off and I was overwhelming.
TWELVE IN fs-UTAH IX-3p-arc part:indef ALREADY EXHAUST NOT^YET SLEEP part:indef WAKE-ALL-NIGHT GAMBLE++ AT fs-CASINO IN ns-NEV IX-1p part:indef 	In Utah, I already get exhausted because I haven't sleep yet.  I was stay awake all night to play gamble at Casino in NEV.
IX-3p:i CAR WHO 	Whose car is that?
LAST-YEAR IX-1p CL:L"holding the remote" ONE STORY ON fs-MUHAMMAD fs-ALI ON CHANNEL #CNN 	Last year, I watched a story about Muhammad Ali on channel CNN.
REALLY IX-3p-arc TROUBLE+ MAKER 	Really, we were trouble makers.
FINISH BOOK READ+ FINISH FUTURE TEACHER:k 	After he finishes reading the book, he will give it to the teacher.
(2h)CL:2"person sitting next to each other" part:indef DEAF DRIVE++ 	He sat down next to each other and then Deaf person started driving.
HEARING part:indef HEAR part:indef HEAR part:indef 	Hearing person said, " I can't hear, I can't hear."
STUDENT IX-loc:i PAY HOW-MANY CAR 	How many cars did the student buy (pay for)?
THREE CL:3"people walking" LOOK ONE CL:5"location" 	Three pigs were walking and looking for a location.
REALLY FAST CL:S"heart beating"++ CL:S"holding the wheel" 	My heart was beating really fast.
MANY PEOPLE (2h)alt.GIFT+:j fs-JANA:j TOY 	Many people are giving Jana toys.
IX-1p DO IX-1p REALLY NONE fs-CLUE 'WHAT' part:indef 	I had no clue of what is going on.
fs-JOHN neu:GIFT:j GIRL BOX++ 	John is giving the girl boxes.
fs-JOHN fs-MARY LOVE IX-3p:j 	John, Mary loves him.
REALLY PEOPLE IX-3p-arc part:indef MORE FRIENDLY HERE IN GENERAL MORE FRIENDLY 	Boston people in Boston is more friendly in general.
fs-ERICK SAME POSS-3p:i NAME ERICK fs-ERICK IX-3p:i POSS-1p PAST #RA 	My RA named is Erick.
IX-3p:i REALLY TEACHER MOVIE REALLY LIKE 	Teacher really liked the movie.
part:indef LOOK WONDER DEAF DRIVE CAN part:indef 	"Im wondering if Deaf people can drive?" hearing person thought.
TEACHER BUY++ HOW-MANY CAR UP-TO-NOW part:indef 	How many cars has the teacher bought so far?
ANYWAY NOT-CARE part:indef CL:2"person sitting" 	Hearing person thought, "I don't care" and decided to join with Deaf.
IX-1p WAKE-UP part:indef REALIZE IX-1p DRIVE TO ns-BOSTON FROM ns-LA IN FOUR-DAY REALLY IX-1p "applause" ANYONE WHO DRIVE TO ns-BOSTON 	I woke up and realized that I drive to Boston from LA in four days is impossible.  Really, I am proud of anyone who drove from LA to Boston.
SAY WANT DEAF SISTER 	Said that she want to have a Deaf sister.
IX-1p part:indef BECOME fs-NUMB IX-1p IX-3p:i STITCH++ 	My hand became numb while stitching.
SEE THREE PIG THREE "ahh" ALL THREE "ahh" HIDE HIDE HIDE 	A wolf saw three pigs, they all screamed and ran away to hide.
FINE IX-1p cl:1 "walking up" GIFT PLASTIC SURGEON POSS-1p #X-RAY RESULT 	I went up back to give plastic surgeon my X-Ray result. 
DRIVE NOTICE SOMETHING ANIMAL ACROSS 	I notice there is some animal walk across the road.
REALLY IX-1p part:indef NOT SURE part:indef 	Really, I wasnt sure.
EVENING fs-HOTEL (2h)GIVE-indef-arc FREE FOOD+ 	That night the hotel served free food.
part:indef IX-1p ns-BOSTON NONE ns-MEXICO FOOD IX-3p-arc NOT BAD BUT IX-1p REALLY POSS-1p NOT-CARE ABOUT ns-MEXICO FOOD DELICIOUS ADVANTAGE part:indef 	Boston's mexican food is not bad, but myself, I dont care about mexican food.  I ate mexican food in LA because its really delicious.
